127.0.0.1 - - [25/Jul/2015:00:12:15 +0800] "GET /janjan/home HTTP/1.1" 200 3088
127.0.0.1 - - [25/Jul/2015:00:12:16 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 2550
127.0.0.1 - - [25/Jul/2015:00:12:16 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [25/Jul/2015:00:12:16 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [25/Jul/2015:00:12:16 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [25/Jul/2015:00:12:16 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [25/Jul/2015:00:12:16 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [25/Jul/2015:00:12:18 +0800] "GET /janjan/register HTTP/1.1" 200 6301
127.0.0.1 - - [25/Jul/2015:00:12:19 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 2550
127.0.0.1 - - [25/Jul/2015:00:12:19 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [25/Jul/2015:00:12:19 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [25/Jul/2015:00:12:19 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [25/Jul/2015:00:12:19 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [25/Jul/2015:00:12:19 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [25/Jul/2015:00:12:19 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_loop_25_000000_21x21.png HTTP/1.1" 200 285
127.0.0.1 - - [25/Jul/2015:00:13:43 +0800] "GET /janjan/register HTTP/1.1" 200 6340
