127.0.0.1 - - [17/Aug/2015:00:00:09 +0800] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [17/Aug/2015:00:00:10 +0800] "GET /janjan/ HTTP/1.1" 302 -
127.0.0.1 - - [17/Aug/2015:00:00:10 +0800] "GET /janjan/home HTTP/1.1" 200 3294
127.0.0.1 - - [17/Aug/2015:00:00:10 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [17/Aug/2015:00:00:10 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [17/Aug/2015:00:00:10 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [17/Aug/2015:00:00:10 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [17/Aug/2015:00:00:10 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 5423
127.0.0.1 - - [17/Aug/2015:00:00:10 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [17/Aug/2015:00:00:10 +0800] "GET /janjan/resources/jquery/validation/1.14.0/jquery.validate.min.js HTTP/1.1" 200 21090
127.0.0.1 - - [17/Aug/2015:00:00:10 +0800] "GET /janjan/resources/jquery/validation/1.14.0/additional-methods.min.js HTTP/1.1" 200 17210
127.0.0.1 - - [17/Aug/2015:00:00:38 +0800] "GET /janjan/home HTTP/1.1" 200 4453
127.0.0.1 - - [17/Aug/2015:00:00:38 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 5423
127.0.0.1 - - [17/Aug/2015:00:00:38 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [17/Aug/2015:00:00:38 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [17/Aug/2015:00:00:38 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [17/Aug/2015:00:00:38 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [17/Aug/2015:00:00:38 +0800] "GET /janjan/resources/jquery/validation/1.14.0/jquery.validate.min.js HTTP/1.1" 200 21090
127.0.0.1 - - [17/Aug/2015:00:00:38 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [17/Aug/2015:00:00:38 +0800] "GET /janjan/resources/jquery/validation/1.14.0/additional-methods.min.js HTTP/1.1" 200 17210
127.0.0.1 - - [17/Aug/2015:00:00:40 +0800] "POST /janjan/admin/product/find HTTP/1.1" 200 12909
127.0.0.1 - - [17/Aug/2015:00:00:40 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [17/Aug/2015:00:00:40 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [17/Aug/2015:00:00:40 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 5423
127.0.0.1 - - [17/Aug/2015:00:00:40 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [17/Aug/2015:00:00:40 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [17/Aug/2015:00:00:40 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [17/Aug/2015:00:00:40 +0800] "GET /janjan/resources/jquery/validation/1.14.0/jquery.validate.min.js HTTP/1.1" 200 21090
127.0.0.1 - - [17/Aug/2015:00:00:40 +0800] "GET /janjan/resources/jquery/validation/1.14.0/additional-methods.min.js HTTP/1.1" 200 17210
127.0.0.1 - - [17/Aug/2015:00:00:45 +0800] "POST /janjan/admin/product/find HTTP/1.1" 200 13000
127.0.0.1 - - [17/Aug/2015:00:00:45 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 5423
127.0.0.1 - - [17/Aug/2015:00:00:45 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [17/Aug/2015:00:00:45 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [17/Aug/2015:00:00:45 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [17/Aug/2015:00:00:45 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [17/Aug/2015:00:00:45 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [17/Aug/2015:00:00:45 +0800] "GET /janjan/resources/jquery/validation/1.14.0/additional-methods.min.js HTTP/1.1" 200 17210
127.0.0.1 - - [17/Aug/2015:00:00:45 +0800] "GET /janjan/resources/jquery/validation/1.14.0/jquery.validate.min.js HTTP/1.1" 200 21090
